
index,time,bid,bidvol,ask,askvol
318,2014-11-05 14:49:00,33.70,16169.00,33.71,4159.00
319,2014-11-05 14:50:00,33.70,12223.00,33.71,6185.00
320,2014-11-05 14:51:00,33.70,10454.00,33.71,6115.00
321,2014-11-05 14:52:00,33.70,12018.00,33.71,9185.00
322,2014-11-05 14:53:00,33.70,12391.00,33.71,6301.00
323,2014-11-05 14:54:00,33.70,13228.00,33.71,4528.00
324,2014-11-05 14:55:00,33.70,11871.00,33.71,8557.00
325,2014-11-05 14:56:00,33.70,11798.00,33.71,9358.00
326,2014-11-05 14:57:00,33.70,17643.00,33.71,4229.00
327,2014-11-05 14:58:00,33.68,6831.00,33.69,7395.00
328,2014-11-05 14:59:00,33.68,9216.00,33.69,10191.00
329,2014-11-05 15:00:00,33.70,5640.00,33.71,6503.00
330,2014-11-05 15:01:00,33.70,8049.00,33.71,3695.00
331,2014-11-05 15:02:00,33.70,14993.00,33.71,7895.00
332,2014-11-05 15:03:00,33.70,15442.00,33.72,10989.00
333,2014-11-05 15:04:00,33.70,11025.00,33.71,5485.00
334,2014-11-05 15:05:00,33.70,12831.00,33.71,6584.00
335,2014-11-05 15:06:00,33.68,5932.00,33.69,10355.00
336,2014-11-05 15:07:00,33.70,4214.00,33.71,6432.00
337,2014-11-05 15:08:00,33.69,11382.00,33.70,9045.00
338,2014-11-05 15:09:00,33.70,2322.00,33.71,8299.00
339,2014-11-05 15:10:00,33.71,2702.00,33.72,6591.00
340,2014-11-05 15:11:00,33.72,1705.00,33.73,8352.00
341,2014-11-05 15:12:00,33.72,5601.00,33.73,5998.00
342,2014-11-05 15:13:00,33.72,9109.00,33.73,6257.00
343,2014-11-05 15:14:00,33.72,7055.00,33.73,10242.00
344,2014-11-05 15:15:00,33.72,7734.00,33.73,8863.00
345,2014-11-05 15:16:00,33.72,7298.00,33.73,8680.00
346,2014-11-05 15:17:00,33.71,10184.00,33.72,7296.00
347,2014-11-05 15:18:00,33.69,2502.00,33.70,9729.00
348,2014-11-05 15:19:00,33.69,1727.00,33.70,7905.00
349,2014-11-05 15:20:00,33.67,4037.00,33.68,5583.00
350,2014-11-05 15:21:00,33.66,5570.00,33.67,6303.00
351,2014-11-05 15:22:00,33.66,4502.00,33.67,8613.00
352,2014-11-05 15:23:00,33.66,5906.00,33.67,4001.00
353,2014-11-05 15:24:00,33.67,5507.00,33.68,8500.00
354,2014-11-05 15:25:00,33.65,14525.00,33.66,3600.00
355,2014-11-05 15:26:00,33.66,8201.00,33.67,14382.00
356,2014-11-05 15:27:00,33.67,7957.00,33.68,11642.00
357,2014-11-05 15:28:00,33.67,4336.00,33.68,13734.00
358,2014-11-05 15:29:00,33.65,17777.00,33.66,20472.00
359,2014-11-05 15:30:00,33.66,12167.00,33.67,9692.00
360,2014-11-05 15:31:00,33.65,3808.00,33.66,9495.00
361,2014-11-05 15:32:00,33.65,5104.00,33.66,8800.00
362,2014-11-05 15:33:00,33.71,4013.00,33.72,8712.00
363,2014-11-05 15:34:00,33.70,12631.00,33.71,1200.00
364,2014-11-05 15:35:00,33.69,12779.00,33.70,3900.00
365,2014-11-05 15:36:00,33.71,3312.00,33.72,14559.00
366,2014-11-05 15:37:00,33.70,3597.00,33.71,14294.00
367,2014-11-05 15:38:00,33.72,603.00,33.73,13765.00
368,2014-11-05 15:39:00,33.72,20423.00,33.73,6628.00
369,2014-11-05 15:40:00,33.72,7579.00,33.73,14225.00
370,2014-11-05 15:41:00,33.72,1166.00,33.73,17139.00
371,2014-11-05 15:42:00,33.72,14161.00,33.73,11024.00
372,2014-11-05 15:43:00,33.72,10866.00,33.73,17739.00
373,2014-11-05 15:44:00,33.73,4062.00,33.74,16147.00
374,2014-11-05 15:45:00,33.73,5165.00,33.74,15617.00
375,2014-11-05 15:46:00,33.72,13866.00,33.73,20671.00
376,2014-11-05 15:47:00,33.72,10424.00,33.73,24660.00
377,2014-11-05 15:48:00,33.72,16164.00,33.73,29113.00
378,2014-11-05 15:49:00,33.72,28101.00,33.73,12954.00
379,2014-11-05 15:50:00,33.72,30425.00,33.73,39021.00
380,2014-11-05 15:51:00,33.73,10460.00,33.74,18447.00
381,2014-11-05 15:52:00,33.79,5666.00,33.80,16470.00
382,2014-11-05 15:53:00,33.77,4323.00,33.78,39952.00
383,2014-11-05 15:54:00,33.76,27347.00,33.77,12288.00
384,2014-11-05 15:55:00,33.75,21697.00,33.76,9864.00
385,2014-11-05 15:56:00,33.74,13804.00,33.75,39911.00
386,2014-11-05 15:57:00,33.74,42734.00,33.75,20308.00
387,2014-11-05 15:58:00,33.75,62941.00,33.76,4300.00
388,2014-11-05 15:59:00,33.76,46961.00,33.77,67283.00
389,2014-11-05 16:00:00,33.75,64375.00,33.76,28684.00
